feature,feature_value,shap_value_log_multiplier,abs_shap_value
lag7_vs_base,1.0222476949641557,0.018542088568210602,0.018542088568210602
cogs_lag_7d,1136391.76,-0.017822952941060066,0.017822952941060066
cogs_ma_7d,1432028.732857143,0.01305380742996931,0.01305380742996931
base_rank_in_week,0.14285714285714285,0.008896314539015293,0.008896314539015293
cogs_lag_28d,1733671.89,-0.008544975891709328,0.008544975891709328
dom_cos,-0.6121059825476626,0.00844689179211855,0.00844689179211855
revenue_ma_7d,1705857.597142857,0.007234599441289902,0.007234599441289902
dom_sin,0.7907757369376989,-0.0071579087525606155,0.0071579087525606155
doy_sin,-0.7678804460366002,-0.006945667788386345,0.006945667788386345
base_share_in_week,0.10952793471480181,-0.005923732183873653,0.005923732183873653
revenue_shock_7d,0.04044102683171722,0.005886934231966734,0.005886934231966734
cogs_lag_14d,2036708.17,-0.005869991146028042,0.005869991146028042
month_3,0.0,0.004886763636022806,0.004886763636022806
log1p_cogs_ma_7d,14.174603389455573,0.00408960971981287,0.00408960971981287
log1p_cogs_lag_28d,14.365752773774947,-0.0032461159862577915,0.0032461159862577915
orders_per_session_lag_14d,0.003376229387874933,-0.0029309738893061876,0.0029309738893061876
log1p_revenue_ma_7d,14.349579117984758,0.0024838377721607685,0.0024838377721607685
cogs_shock_7d,0.060632084504074535,-0.002442601602524519,0.002442601602524519
revenue_per_session_lag_28d,98.65607411829536,-0.0023117242380976677,0.0023117242380976677
log_lv2_base,14.089828105250797,-0.0022832094691693783,0.0022832094691693783
log1p_cogs_shock_7d,0.058865036540038065,-0.0014424212276935577,0.0014424212276935577
promo_margin_pressure,0.0,-0.0013874094001948833,0.0013874094001948833
log1p_cogs_lag_14d,14.526845911329016,-0.0012983415508642793,0.0012983415508642793
revenue_lag_14d,2489853.45,-0.00114387646317482,0.00114387646317482
log1p_cogs_lag_7d,13.943369557945747,-0.0011187419295310974,0.0011187419295310974
revenue_lag_7d,1344901.28,-0.0011152403894811869,0.0011152403894811869
doy_cos,0.640593178698175,0.0008343914523720741,0.0008343914523720741
log1p_cogs_ma_28d,14.423610636666835,0.0008340282365679741,0.0008340282365679741
log1p_revenue_shock_7d,0.03964468752471083,0.0007832258706912398,0.0007832258706912398
revenue_ma_28d,2205140.782857143,0.0007364139892160892,0.0007364139892160892
funnel_efficiency_lag_28d,106.43415245968896,-0.0006103648338466883,0.0006103648338466883
log1p_orders_per_session_lag_14d,0.0033705427215005006,-0.0005646636709570885,0.0005646636709570885
wday_6,0.0,-0.0005113068036735058,0.0005113068036735058
revenue_lag_28d,2148334.67,-0.000507232325617224,0.000507232325617224
base_vs_week_mean,0.7666955430036125,-0.000488509947899729,0.000488509947899729
wday_7,0.0,-0.000453100394224748,0.000453100394224748
log1p_revenue_per_session_lag_28d,4.601724999324939,-0.0004500187933444977,0.0004500187933444977
log1p_funnel_efficiency_lag_28d,4.676878124632646,-0.00044998573139309883,0.00044998573139309883
wday_5,0.0,0.00032838195329532027,0.00032838195329532027
log1p_revenue_lag_7d,14.111831914103535,-0.00029968071612529457,0.00029968071612529457
recovery_gap,0.49614453007687165,-0.00022777909180149436,0.00022777909180149436
cogs_ma_28d,1836937.0435714286,-0.00021801888942718506,0.00021801888942718506
wday_3,0.0,0.0001870922715170309,0.0001870922715170309
log1p_revenue_lag_14d,14.727734812917138,0.0001769221998983994,0.0001769221998983994
log_lv3_multiplier_base,14.089828105250797,-0.0001557799696456641,0.0001557799696456641
month_2,0.0,-0.0001297848066315055,0.0001297848066315055
streetwear_concentration_risk,0.815935560046925,0.00011667672515613958,0.00011667672515613958
is_payday_window,0.0,0.00010443774226587266,0.00010443774226587266
wday_1,0.0,6.413066148525104e-05,6.413066148525104e-05
promo_seg_code,0.0,-6.398896221071482e-05,6.398896221071482e-05
log1p_promo_margin_pressure,0.0,-5.970980055280961e-05,5.970980055280961e-05
base_vs_precovid_baseline,0.5038554699231284,4.594072015606798e-05,4.594072015606798e-05
log1p_revenue_ma_28d,14.606302365411372,3.704350092448294e-05,3.704350092448294e-05
log1p_active_promo_count,0.0,-3.460401785559952e-05,3.460401785559952e-05
promo_discount_value,0.0,3.2465235562995076e-05,3.2465235562995076e-05
log1p_revenue_lag_28d,14.58020399335158,-2.4232691430370323e-05,2.4232691430370323e-05
is_year_end_window,0.0,-2.246268377348315e-05,2.246268377348315e-05
log1p_streetwear_concentration_risk,0.5966007949938519,-1.9060998965869658e-05,1.9060998965869658e-05
wday_2,0.0,0.0,0.0
bias,1.0,0.0,0.0
pre_covid,0.0,0.0,0.0
lv3_multiplier_base_ratio,1.0,0.0,0.0
wday_4,1.0,0.0,0.0
month_11,1.0,0.0,0.0
month_8,0.0,0.0,0.0
month_7,0.0,0.0,0.0
month_10,0.0,0.0,0.0
lv3_uses_weekly_avg_event_base,0.0,0.0,0.0
month_1,0.0,0.0,0.0
month_4,0.0,0.0,0.0
month_5,0.0,0.0,0.0
month_6,0.0,0.0,0.0
is_hung_kings_day,0.0,0.0,0.0
is_tet_window,0.0,0.0,0.0
is_month_end,0.0,0.0,0.0
is_month_start,0.0,0.0,0.0
is_holiday,1.0,0.0,0.0
month_9,0.0,0.0,0.0
month_12,0.0,0.0,0.0
log1p_promo_type_fixed,0.0,0.0,0.0
promo_impact_score,0.0,0.0,0.0
log1p_promo_discount_value,0.0,0.0,0.0
promo_type_fixed,0.0,0.0,0.0
log1p_promo_flag,0.0,0.0,0.0
log1p_avg_promo_discount_value,0.0,0.0,0.0
stackable_promo_count,0.0,0.0,0.0
log1p_stackable_promo_count,0.0,0.0,0.0
log1p_promo_seg_code,0.0,0.0,0.0
is_lunar_holiday,0.0,0.0,0.0
is_new_year_window,0.0,0.0,0.0
is_double_day_sale,1.0,0.0,0.0
is_1111_1212,1.0,0.0,0.0
promo_projected_flag,0.0,0.0,0.0
log1p_promo_impact_score,0.0,0.0,0.0
log1p_promo_projected_flag,0.0,0.0,0.0
is_black_friday_window,0.0,0.0,0.0
active_promo_count,0.0,0.0,0.0
promo_flag,0.0,0.0,0.0
avg_promo_discount_value,0.0,0.0,0.0
internal_stress_regime,1.0,0.0,0.0
log1p_is_operational_crisis,0.6931471805599453,0.0,0.0
is_operational_crisis,1.0,0.0,0.0
log1p_internal_stress_regime,0.6931471805599453,0.0,0.0
event_intensity,3.0,0.0,0.0
